NAME,NESTAB,NAICS2017,state,county
"Greene County, Alabama",27,6244,01,063
"Barbour County, Alabama",65,6244,01,005
"Bibb County, Alabama",22,6244,01,007
"Bullock County, Alabama",33,6244,01,011
"Calhoun County, Alabama",118,6244,01,015
"Chambers County, Alabama",73,6244,01,017
"Clarke County, Alabama",36,6244,01,025
"Fayette County, Alabama",23,6244,01,057
"Montgomery County, Alabama",517,6244,01,101
"Marshall County, Alabama",114,6244,01,095
"Blount County, Alabama",35,6244,01,009
"Henry County, Alabama",16,6244,01,067
"Madison County, Alabama",385,6244,01,089
"Autauga County, Alabama",62,6244,01,001
"Tallapoosa County, Alabama",52,6244,01,123
"Geneva County, Alabama",39,6244,01,061
"Wilcox County, Alabama",19,6244,01,131
"Kodiak Island Borough, Alaska",31,6244,02,150
"Northwest Arctic Borough, Alaska",13,6244,02,188
"Bethel Census Area, Alaska",11,6244,02,050
"North Slope Borough, Alaska",18,6244,02,185
"Sitka City and Borough, Alaska",15,6244,02,220
"Fairbanks North Star Borough, Alaska",137,6244,02,090
"Ketchikan Gateway Borough, Alaska",22,6244,02,130
"Matanuska-Susitna Borough, Alaska",118,6244,02,170
"Nome Census Area, Alaska",11,6244,02,180
"Dillingham Census Area, Alaska",11,6244,02,070
"Juneau City and Borough, Alaska",93,6244,02,110
"Southeast Fairbanks Census Area, Alaska",9,6244,02,240
"Yukon-Koyukuk Census Area, Alaska",5,6244,02,290
"Anchorage Municipality, Alaska",479,6244,02,020
"Kenai Peninsula Borough, Alaska",61,6244,02,122
"Valdez-Cordova Census Area, Alaska",16,6244,02,261
"Coosa County, Alabama",5,6244,01,037
"Hoonah-Angoon Census Area, Alaska",4,6244,02,105
"Prince of Wales-Hyder Census Area, Alaska",11,6244,02,198
"Wrangell City and Borough, Alaska",5,6244,02,275
"Petersburg Borough, Alaska",3,6244,02,195
"Kusilvak Census Area, Alaska",10,6244,02,158
"Pima County, Arizona",1648,6244,04,019
"Maricopa County, Arizona",6137,6244,04,013
"Gila County, Arizona",69,6244,04,007
"Graham County, Arizona",51,6244,04,009
"Santa Cruz County, Arizona",227,6244,04,023
"Cochise County, Arizona",247,6244,04,003
"La Paz County, Arizona",18,6244,04,012
"Mohave County, Arizona",141,6244,04,015
"Apache County, Arizona",56,6244,04,001
"Coconino County, Arizona",96,6244,04,005
"Yavapai County, Arizona",189,6244,04,025
"Yuma County, Arizona",662,6244,04,027
"Greenlee County, Arizona",7,6244,04,011
"Navajo County, Arizona",94,6244,04,017
